input,target
ಆಲ್ಬಮ್,ಆಲ್ಬಮ್
ಲಆ್ಬಮ್,ಆಲ್ಬಮ್
ಕೋನ,ಕೋನ
ಕನ,ಕೋನ
ಸೇಬು,ಸೇಬು
ಸೇಖು,ಸೇಬು
ಪ್ರದೇಶ,ಪ್ರದೇಶ
ಡ್ರದೇಶ,ಪ್ರದೇಶ
ಸೇನೆ,ಸೇನೆ
ಸನೇೆ,ಸೇನೆ
ಬಾಣ,ಬಾಣ
ಭಬಾಣ,ಬಾಣ
ಪ್ರಶಸ್ತಿ,ಪ್ರಶಸ್ತಿ
ಪ್ರಶಸ್ಿತ,ಪ್ರಶಸ್ತಿ
ಮಗು,ಮಗು
ಭಗು,ಮಗು
ಹಿಂದೆ,ಹಿಂದೆ
ಹೋಂದೆ,ಹಿಂದೆ
ಚೆಂಡು,ಚೆಂಡು
ಚೆಂಡ,ಚೆಂಡು
ಬ್ಯಾಂಡ್,ಬ್ಯಾಂಡ್
ಬ್ಯಾಂೃ್,ಬ್ಯಾಂಡ್
ಬ್ಯಾಂಕ್,ಬ್ಯಾಂಕ್
ಬ್ಯಾಂ್,ಬ್ಯಾಂಕ್
ಬೇಸ್,ಬೇಸ್
ಅಬೇಸ್,ಬೇಸ್
ಕರಡಿ,ಕರಡಿ
ರಕಡಿ,ಕರಡಿ
ಇರುವಿಕೆ,ಇರುವಿಕೆ
ಇರುವಿೈೆ,ಇರುವಿಕೆ
ಗಂಟೆ,ಗಂಟೆ
ಗಂಂಟೆ,ಗಂಟೆ
ಹಕ್ಕಿ,ಹಕ್ಕಿ
ಹ್ಕಕಿ,ಹಕ್ಕಿ
ಜನ್ಮ,ಜನ್ಮ
ಜ್ಮ,ಜನ್ಮ
ಬ್ಲಾಕ್,ಬ್ಲಾಕ್
ಬ್ಲಾೇ್,ಬ್ಲಾಕ್
ಬೋರ್ಡ್,ಬೋರ್ಡ್
ಬಚರ್ಡ್,ಬೋರ್ಡ್
ದೋಣಿ,ದೋಣಿ
ದಣೋಿ,ದೋಣಿ
ದೇಹ,ದೇಹ
ಠೇಹ,ದೇಹ
ಪುಸ್ತಕ,ಪುಸ್ತಕ
ಪೃುಸ್ತಕ,ಪುಸ್ತಕ
ಮೆದುಳು,ಮೆದುಳು
ಮೆದುಳ,ಮೆದುಳು
ಬ್ರ್ಯಾಂಡ್,ಬ್ರ್ಯಾಂಡ್
ಬ್ರ್ಯಂಾಡ್,ಬ್ರ್ಯಾಂಡ್
ಬ್ರೆಡ್,ಬ್ರೆಡ್
ಬ್ರೆಡ್ಧ,ಬ್ರೆಡ್
ಬ್ರಷ್,ಬ್ರಷ್
ಬ್ಉರಷ್,ಬ್ರಷ್
ಕೇಕ್,ಕೇಕ್
ಕೇಕೂ್,ಕೇಕ್
ಶಿಬಿರ,ಶಿಬಿರ
ಶಿಬಿಗ,ಶಿಬಿರ
ಕಾರ್ಡ್,ಕಾರ್ಡ್
ಇಾರ್ಡ್,ಕಾರ್ಡ್
ಕಾಳಜಿ,ಕಾಳಜಿ
ಕಾಳಿ,ಕಾಳಜಿ
ಕೇಸ್,ಕೇಸ್
ಕೇಸ್ಯ,ಕೇಸ್
ನಗದು,ನಗದು
ನೌದು,ನಗದು
ಕಾರಣ,ಕಾರಣ
ಕಾರಖಣ,ಕಾರಣ
ಸರಪಣಿ,ಸರಪಣಿ
ಸರಪ್ಿ,ಸರಪಣಿ
ಕುರ್ಚಿ,ಕುರ್ಚಿ
ುರ್ಚಿ,ಕುರ್ಚಿ
ಅವಕಾಶ,ಅವಕಾಶ
ಅವೀಕಾಶ,ಅವಕಾಶ
ಚಾರ್ಟ್,ಚಾರ್ಟ್
ನಚಾರ್ಟ್,ಚಾರ್ಟ್
ಮಗು,ಮಗು
ಮು,ಮಗು
ಆಯ್ಕೆ,ಆಯ್ಕೆ
ಆಯಕ್ೆ,ಆಯ್ಕೆ
ನಗರ,ನಗರ
ಗನರ,ನಗರ
ವರ್ಗ,ವರ್ಗ
ವರಗ್,ವರ್ಗ
ಗಡಿಯಾರ,ಗಡಿಯಾರ
ಗಡಿಯಾರೀ,ಗಡಿಯಾರ
ಮೇಘ,ಮೇಘ
ಮಘೇ,ಮೇಘ
ಕ್ಲಬ್,ಕ್ಲಬ್
ಕ್ಲಬ್ೂ,ಕ್ಲಬ್
ಕರಾವಳಿ,ಕರಾವಳಿ
ಕರಾಳಿ,ಕರಾವಳಿ
ಕೋಡ್,ಕೋಡ್
ೋಕಡ್,ಕೋಡ್
ಅಡುಗೆ,ಅಡುಗೆ
