input,target
વાદળ,વાદળ
વાદફળ,વાદળ
જમીન,જમીન
ઊમીન,જમીન
ચાંદો,ચાંદો
ચાદો,ચાંદો
પર્વત,પર્વત
પરવત,પર્વત
કુદરત,કુદરત
કુદરખત,કુદરત
નદી,નદી
નમદી,નદી
દરિયો,દરિયો
ડદરિયો,દરિયો
આકાશ,આકાશ
કાશ,આકાશ
તારા,તારા
તરાા,તારા
સૂરજ,સૂરજ
ૂસરજ,સૂરજ
બટાટા,બટાટા
ટાટા,બટાટા
ટામેટા,ટામેટા
ટમાેટા,ટામેટા
ડુંગળી,ડુંગળી
ડઠંગળી,ડુંગળી
ગાજર,ગાજર
ગાષર,ગાજર
ફળો,ફળો
ંળો,ફળો
સફરજન,સફરજન
સઘફરજન,સફરજન
કેળા,કેળા
કેળષા,કેળા
નારંગી,નારંગી
નાંરગી,નારંગી
દૂધ,દૂધ
દછધ,દૂધ
માખણ,માખણ
ામખણ,માખણ
પનીર,પનીર
પઇીર,પનીર
કૉફી,કૉફી
કફફી,કૉફી
માંસ,માંસ
માંઆ,માંસ
મરઘું,મરઘું
મરઘુ,મરઘું
માછલી,માછલી
મછલી,માછલી
હાથ,હાથ
હાથએ,હાથ
પાછા,પાછા
પાા,પાછા
છાતી,છાતી
છાડતી,છાતી
ચીન,ચીન
ચની,ચીન
આંખ,આંખ
આઈંખ,આંખ
ચહેરો,ચહેરો
ચહેો,ચહેરો
આંગળી,આંગળી
ંઆગળી,આંગળી
પગ,પગ
પ,પગ
વાળ,વાળ
ઘવાળ,વાળ
હૃદય,હૃદય
હૃયદ,હૃદય
ઘૂંટણ,ઘૂંટણ
ઘૂંમણ,ઘૂંટણ
ખભા,ખભા
ંખભા,ખભા
પેટ,પેટ
પે,પેટ
દાંત,દાંત
ાદંત,દાંત
જાંઘ,જાંઘ
જાં્ઘ,જાંઘ
ગળું,ગળું
ગું,ગળું
અંગૂઠો,અંગૂઠો
અંધૂઠો,અંગૂઠો
પંજો,પંજો
પંોજ,પંજો
જીભ,જીભ
જગભ,જીભ
પાણી,પાણી
પષણી,પાણી
આગ,આગ
ગ,આગ
પથ્થર,પથ્થર
પેથ્થર,પથ્થર
રેતી,રેતી
રેત,રેતી
તળાવ,તળાવ
તાળવ,તળાવ
ખેતર,ખેતર
ેખતર,ખેતર
બગીચો,બગીચો
બનીચો,બગીચો
ઘાસ,ઘાસ
ઘસા,ઘાસ
કલી,કલી
િકલી,કલી
ડાળ,ડાળ
ડાથ,ડાળ
જડ,જડ
ધજડ,જડ
બીજ,બીજ
ીજ,બીજ
પૌધો,પૌધો
પૌો,પૌધો
કાંટો,કાંટો
ાકંટો,કાંટો
લાકડી,લાકડી
લાઞડી,લાકડી
કોયલા,કોયલા
કોયગલા,કોયલા
દીપ,દીપ
ીપ,દીપ
ગરમી,ગરમી
રગમી,ગરમી
ઠંડક,ઠંડક
ંડક,ઠંડક
ભાપ,ભાપ
આભાપ,ભાપ
ધુમાડો,ધુમાડો
ધમાડો,ધુમાડો
રાખ,રાખ
રખ,રાખ
ધારા,ધારા
ઉારા,ધારા
સ્રોત,સ્રોત
એ્રોત,સ્રોત
તેજ,તેજ
તસેજ,તેજ
દૂર,દૂર
ૂદર,દૂર
ઊંચાઈ,ઊંચાઈ
ઊંજચાઈ,ઊંચાઈ
ગહન,ગહન
ગહનણ,ગહન
લંબાઈ,લંબાઈ
લંબા,લંબાઈ
ચૌડાઈ,ચૌડાઈ
ચૌડઈા,ચૌડાઈ
ગોલ,ગોલ
ોગલ,ગોલ
સીધું,સીધું
સીધંુ,સીધું
પતલું,પતલું
પતું,પતલું
મોટું,મોટું
મટું,મોટું
નરમ,નરમ
નગમ,નરમ
કડક,કડક
ડક,કડક
હલકું,હલકું
હલું,હલકું
ભારી,ભારી
ભરાી,ભારી
સુકું,સુકું
ુસકું,સુકું
ભીનું,ભીનું
ભીઋનું,ભીનું
તાજું,તાજું
તાજં,તાજું
સાફ,સાફ
સા,સાફ
પવિત્ર,પવિત્ર
પવિત્,પવિત્ર
મિલન,મિલન
મિલયન,મિલન
ભેદ,ભેદ
ભચદ,ભેદ
સમાન,સમાન
સામન,સમાન
અલગ,અલગ
અળગ,અલગ
જોડ,જોડ
ોડ,જોડ
ટુકડો,ટુકડો
ટુકડઘ,ટુકડો
હિસ્સો,હિસ્સો
હિસ્સોઆ,હિસ્સો
પૂરું,પૂરું
વૂરું,પૂરું
આધું,આધું
આધંુ,આધું
કમ,કમ
િમ,કમ
વધુ,વધુ
વ્ધુ,વધુ
ત્રણ,ત્રણ
ત્ણ,ત્રણ
ચાર,ચાર
ચીાર,ચાર
દિન,દિન
દનિ,દિન
મહિનો,મહિનો
મિનો,મહિનો
વર્ષ,વર્ષ
વરષ,વર્ષ
ઋતુ,ઋતુ
ઋતએ,ઋતુ
વસંત,વસંત
વીંત,વસંત
ગરમી,ગરમી
ગરમ,ગરમી
વરસાદ,વરસાદ
વઊસાદ,વરસાદ
શિયાળો,શિયાળો
ણશિયાળો,શિયાળો
શરદ,શરદ
શર,શરદ
ગ્રહ,ગ્રહ
્રહ,ગ્રહ
ધરતી,ધરતી
રધતી,ધરતી
તેજસ,તેજસ
તવજસ,તેજસ
અંધ,અંધ
અધ,અંધ
સ્વર,સ્વર
સ્ર,સ્વર
તાલ,તાલ
પતાલ,તાલ
ગીત,ગીત
ીત,ગીત
નૃત્ય,નૃત્ય
ૃૃત્ય,નૃત્ય
કલા,કલા
લકા,કલા
રૂપ,રૂપ
રધપ,રૂપ
આકાર,આકાર
આાર,આકાર
રેખા,રેખા
રેાખ,રેખા
બિંદુ,બિંદુ
બિદંુ,બિંદુ
ગોલા,ગોલા
ગોા,ગોલા
વર્ગ,વર્ગ
વ્ગ,વર્ગ
ત્રિકોણ,ત્રિકોણ
ત્િરકોણ,ત્રિકોણ
માપ,માપ
ઞાપ,માપ
વજન,વજન
વજનઆ,વજન
લંબાઈ,લંબાઈ
લકંબાઈ,લંબાઈ
છોટું,છોટું
છોટુઘ,છોટું
ઊંચું,ઊંચું
ઊંચપું,ઊંચું
નીચું,નીચું
રીચું,નીચું
ગહરું,ગહરું
ગહિું,ગહરું
ઉથલું,ઉથલું
ઉથલું્,ઉથલું
દૂર,દૂર
દડર,દૂર
પાસ,પાસ
રાસ,પાસ
અગલું,અગલું
અગૈલું,અગલું
પીછા,પીછા
ણપીછા,પીછા
ઉપર,ઉપર
ઉરપ,ઉપર
નીચે,નીચે
ીનચે,નીચે
બાયું,બાયું
બાયંુ,બાયું
દાહિનું,દાહિનું
દાિહનું,દાહિનું
અંદર,અંદર
ંઅદર,અંદર
બહાર,બહાર
બહરા,બહાર
સામને,સામને
સમને,સામને
પીછે,પીછે
ીપછે,પીછે
