input,target
aramb,ਆਰੰਭ
ਖਾੀਲ,ਖਾਲੀ
ਤਾਜ਼ਾ,ਤਾਜ਼ਾ
ੋਤੀ,ਜੋਤੀ
rumil,ਰੂਮਾਲ
ਖਾਲੀ,ਖਾਲੀ
navin,ਨਵੀਨ
milia,ਮਿਲਿਆ
gathi,ਗਤੀ
ਉਤਾਸਹ,ਉਤਸਾਹ
barabarg,ਬਰਾਬਰ
joyti,ਜੋਤੀ
ਤੇਜ਼,ਤੇਜ਼
ਆਸਾਨ,ਆਸਾਨ
ਗਦੰਾ,ਗੰਦਾ
ਬੇਦ,ਭੇਦ
ਵਿਦਿਆ,ਵਿਦਿਆ
ਇੱਥੇ,ਇੱਥੇ
ਛੁੱਟੀ,ਛੁੱਟੀ
ਤੇਲ਼,ਤੇਜ਼
ਦਰਵਾਜਾ,ਦਰਵਾਜਾ
amn,ਮਨ
ਘਊਟਾ,ਘੰਟਾ
ਸਾਡਹਿਤ,ਸਾਹਿਤ
pade,ਪਾਸੇ
nere,ਨੇੜੇ
sakyt,ਸਖਤ
ਸਹੀ,ਸਹੀ
ganit,ਗਣਿਤ
atl,ਤਾਲ
ਉਕਪਰਨ,ਉਪਕਰਨ
ਸ਼ਾਮ,ਸ਼ਾਮ
ਗਰਮੀ,ਗਰਮੀ
ੁਗਣ,ਗੁਣ
vrtaman,ਵਰਤਮਾਨ
ਉਥਲੀ,ਉਥਲੀ
khattka,ਖੱਟਾ
git,ਗੀਤ
tlaa,ਤਾਲਾ
ਸਾਲ,ਸਾਲ
kiune,ਕਿਉਂ
ta,ਤਾਪ
ਤਾਚ,ਤਾਲ
ਦੂਰ,ਦੂਰ
ਉਕਰ,ਉਧਰ
ਜਾ,ਜਾਂ
ਹੁਣ,ਹੁਣ
anram,ਨਰਮ
ਰੂਮਭਾਲ,ਰੂਮਾਲ
tala,ਤਾਲਾ
ਸਫ,ਸਾਫ
ਉਸ਼,ਉਸ਼ਾ
sabh,ਸਭ
ਕੁੰਜੀਡ,ਕੁੰਜੀ
itiahs,ਇਤਿਹਾਸ
rakh,ਰਾਖ
pichhe,ਪਿੱਛੇ
ਸੁੰਦਰ,ਸੁੰਦਰ
ਸਫਤ,ਸਖਤ
ssaf,ਸਾਫ
madh,ਮੱਧ
ki,ਕੀ
taraf,ਤਰਫ
ਪਨੰਧ,ਪੰਧ
lambfi,ਲੰਬੀ
alag,ਅਲਗ
ੇਜ,ਜੇ
ਵਰਤਮਾਨ,ਵਰਤਮਾਨ
sajavat,ਸਜਾਵਟ
ਮਾਰਗ,ਮਾਰਗ
ੱਹਾਇ,ਸਹਾਇ
ਪ੍ਰਯਾਸ,ਪ੍ਰਯਾਸ
kshetar,ਕਸ਼ੇਤਰ
ਸਯਤ,ਸਤਯ
sair,ਸੈਰ
kaganj,ਕਾਗਜ
ਠਤਲਾ,ਪਤਲਾ
ਸਪਸ਼,ਸਪਰਸ਼
harya,ਹਰਾ
ਪੁਰਾਣਾ,ਪੁਰਾਣਾ
rumal,ਰੂਮਾਲ
ਪ਼ਤਲਾ,ਪਤਲਾ
gandh,ਗੰਧ
ਧੂੰਆਠ,ਧੂੰਆ
ਆਕਾਰ,ਆਕਾਰ
ਵਸਾਦਿਸ਼ਟ,ਸਵਾਦਿਸ਼ਟ
tuka,ਟੁੱਕੜਾ
ਲੰਟੀ,ਲੰਬੀ
ਸਹਿਯੋਗ,ਸਹਿਯੋਗ
jan,ਜਾਂ
jhibl,ਝੀਲ
ਦੁਆਰ,ਦੁਆਰ
ੜਰੂਪ,ਰੂਪ
sarjd,ਸਰਦ
ਗਿਰੀ,ਗਹਿਰੀ
ਯਾਤਰਾਠ,ਯਾਤਰਾ
ਵਿਚਾਰ,ਵਿਚਾਰ
jharna,ਝਰਨਾ
adik,ਅਧਿਕ
patjhar,ਪਤਝੜ
lnift,ਲਿਫਟ
ਟੁੱਕਾੜ,ਟੁੱਕੜਾ
ੱਛਤ,ਛੱਤ
ਖਿੜਕੀ,ਖਿੜਕੀ
phul,ਫੂਲ
ਾਛਇਆ,ਛਾਇਆ
ਪਾਸੇ,ਪਾਸੇ
haiva,ਹਵਾ
ਉਚਾਈ,ਉਚਾਈ
ਨਾਾਲ,ਨਾਲਾ
ਭਸਮੇ,ਸਮੇ
ਸਖਿਤਿ,ਸਥਿਤਿ
ਗਿਵਆਨ,ਗਿਆਨ
grahi,ਗ੍ਰਹਿ
ਪਫਤਰ,ਪੱਤਰ
tz,ਤੇਜ਼
gt,ਗੀਤ
ਸਰੋਤ,ਸ੍ਰੋਤ
registan,ਰੇਗਿਸਤਾਨ
kathn,ਕਠਿਨ
pura,ਪੂਰਾ
ਡਾਲ,ਡਾਲ
ਕਉਤਵ,ਕਰਤਵ
samachar,ਸਮਾਚਾਰ
ganda,ਗੰਦਾ
ਕਦੋਂ,ਕਦੋਂ
ਗਗਮ,ਗਰਮ
ਬੱਦਲ,ਬੱਦਲ
ਰਅਥ,ਅਰਥ
kinns,ਕਿੰਨਾ
ਨੂਵਾਂ,ਨਵਾਂ
ਭਾਸ਼ਾ,ਭਾਸ਼ਾ
ਨਮਕਨ,ਨਮਕੀਨ
bhaf,ਭਾਫ
budh,ਬੁੱਧ
ੋਸਥਾਨ,ਸਥਾਨ
ziaad,ਜ਼ਿਆਦਾ
ਗਰੀਬ,ਗਰੀਬ
ਮੱਧ,ਮੱਧ
pattar,ਪੱਤਰ
ਖੇ,ਖੇਤ
gandhz,ਗੰਧ
hajka,ਹਲਕਾ
ੰਅਧ,ਅੰਧ
ਸ਼ਾਂਤੀ,ਸ਼ਾਂਤੀ
ਆਾਸਨ,ਆਸਾਨ
ekata,ਏਕਤਾ
ਗੀਚਲਾ,ਗੀਲਾ
ਕਿਵੇਂਵ,ਕਿਵੇਂ
disha,ਦਿਸ਼ਾ
anit,ਗਣਿਤ
nhasha,ਭਾਸ਼ਾ
ਬਿੰਦੂ,ਬਿੰਦੂ
ਸ਼ਅਂਤੀ,ਸ਼ਾਂਤੀ
saf,ਸਾਫ
joti,ਜੋਤੀ
akar,ਆਕਾਰ
hamesa,ਹਮੇਸ਼ਾ
ਲੰਮਾ,ਲੰਮਾ
sambndh,ਸੰਬੰਧ
svntantar,ਸਵਤੰਤਰ
ੀਰ,ਨੀਰ
ਧਪ,ਧੂਪ
chota,ਛੋਟਾ
svadisht,ਸਵਾਦਿਸ਼ਟ
ਮਿੱਰਤ,ਮਿੱਤਰ
ਵਿਗਿਆਨ,ਵਿਗਿਆਨ
din,ਦਿਨ
sukka,ਸੁੱਕਾ
nara,ਨਰਮ
sidah,ਸੀਧਾ
ਆਾ,ਆਸਾ
apr,ਪਰ
ਗਗਨ,ਗਗਨ
ਬਾਰਆਸ਼,ਬਾਰਿਸ਼
laksh,ਲਕਸ਼
ਟੇਢਾ,ਟੇਢਾ
ਰਪੂ,ਰੂਪ
mashin,ਮਸ਼ੀਨ
ਵਕਾਸ,ਵਿਕਾਸ
ਖੇਤ,ਖੇਤ
ਪਤਝ,ਪਤਝੜ
gaagn,ਗਗਨ
sravan,ਸ੍ਰਵਣ
ਫਿਲਮ,ਫਿਲਮ
ਸਪਤਾਹ,ਸਪਤਾਹ
ਮਲਿਨ,ਮਿਲਨ
gaiat,ਗਲਤ
vishvas,ਵਿਸ਼ਵਾਸ
sakht,ਸਖਤ
ਕਿਉਂ,ਕਿਉਂ
ਮਾਸ,ਮਾਸ
snth,ਸਾਥ
smne,ਸਾਮਨੇ
ਸਵਸਥ,ਸਵਾਸਥ
ਬਾਂ,ਬਾਂਧ
ਬਜੱਧ,ਬੁੱਧ
ਦਕੇ,ਕਦੇ
ਅੰਦਰ,ਅੰਦਰ
ਪੌਧਾ,ਪੌਧਾ
ਕਿੰੂਨਾ,ਕਿੰਨਾ
ਗਣਿਤ,ਗਣਿਤ
cisli,ਇਸ ਲਈ
kailpna,ਕਲਪਨਾ
jahajm,ਜਹਾਜ
vigyan,ਵਿਗਿਆਨ
ਸਰ,ਸਵਰ
ਦਜਹਾਜ,ਜਹਾਜ
ਪੁਰਾਾਣ,ਪੁਰਾਣਾ
pathar,ਪਤਝੜ
thiti,ਸਥਿਤਿ
at,ਰਾਤ
taodn,ਤਦੋਂ
ਜਸੀਧਾ,ਸੀਧਾ
alga,ਅਲਗ
ਕਿੰਨਾ,ਕਿੰਨਾ
mengh,ਮੇਘ
ਕਿਵੇਂ,ਕਿਵੇਂ
ਸਾਾ,ਸਾਦਾ
niai,ਨਿਆਇ
dhuna,ਧੂੰਆ
parkash,ਪ੍ਰਕਾਸ਼
ਮੌਨ,ਮੌਨ
ਮਹੀਨਾ,ਮਹੀਨਾ
dishc,ਦਿਸ਼ਾ
slhi,ਸਹੀ
trik,ਤ੍ਰਿਕ
ਖੁਸ਼ਲ,ਖੁਸ਼
anaaj,ਅਨਾਜ
kinara,ਕਿਨਾਰਾ
ਵਿਕਾਨ,ਵਿਮਾਨ
ਸਥਾਨ,ਸਥਾਨ
ਅਗ,ਅਲਗ
savr,ਸਵਰ
kbhel,ਖੇਲ
thnda,ਠੰਡਾ
bijli,ਬਿਜਲੀ
ktiab,ਕਿਤਾਬ
rat,ਰਾਤ
ndai,ਨਦੀ
koila,ਕੋਇਲਾ
sprkar,ਪ੍ਰਕਾਰ
ਸਲ,ਸਾਲ
ਪਰੰਪਰਾ,ਪਰੰਪਰਾ
kashan,ਕਸ਼ਣ
ਨਜ਼ਦੀਕਗ,ਨਜ਼ਦੀਕ
divas,ਦਿਵਸ
thkda,ਥੋੜਾ
mitit,ਮਿੱਟੀ
adunik,ਆਧੁਨਿਕ
ਜਵਾਨ,ਜਵਾਨ
ਭਤੇਜ,ਤੇਜ
agal,ਅਗਲਾ
mauam,ਮੌਸਮ
ਧੁਨੀ,ਧੁਨੀ
ਧੂੜ,ਧੂੜ
khetn,ਖੇਤ
ਸਜਾਵਟ,ਸਜਾਵਟ
ਵਿਕਾਸ,ਵਿਕਾਸ
ਸੇਵਾ,ਸੇਵਾ
ਦਰੂ,ਦੂਰ
kitabuan,ਕਿਤਾਬਾਂ
khirki,ਖਿੜਕੀ
ਰਨਮ,ਨਰਮ
ਮੁਸਕਨਾ,ਮੁਸਕਾਨ
ਡੂੰਘਾਈ,ਡੂੰਘਾਈ
gzyan,ਗਿਆਨ
baddal,ਬੱਦਲ
ਜਾਂ,ਜਾਂ
ਸੜਛ,ਸੜਕ
hulka,ਹਲਕਾ
dru,ਦੂਰ
ਭਰੀ,ਭਾਰੀ
ਫੁਤੱਲ,ਫੁੱਲ
ਮੁਸ਼ਕਲ,ਮੁਸ਼ਕਲ
dhibma,ਧੀਮਾ
khpsh,ਖੁਸ਼
ਵੱਡ,ਵੱਡਾ
ਫੂਫ,ਫੂਲ
jhuth,ਝੂਠ
ziada,ਜ਼ਿਆਦਾ
ਲਬ,ਬਲ
ਸੁੱਕਾ,ਸੁੱਕਾ
chamabk,ਚਮਕ
ੁਹਣ,ਹੁਣ
saij,ਸਹਿਜ
ਠਅੰਧੇਰਾ,ਅੰਧੇਰਾ
divvas,ਦਿਵਸ
bhfa,ਭਾਫ
addha,ਅੱਧਾ
rup,ਰੂਪ
ਪ੍ਰੇਮ,ਪ੍ਰੇਮ
upvan,ਉਪਵਨ
ਮਿਟੀ,ਮਿੱਟੀ
ਕਿਤਾਬ,ਕਿਤਾਬ
ਰੜਖਾ,ਰੇਖਾ
lutthe,ਉੱਥੇ
ਕਿਤਬ,ਕਿਤਾਬ
ਬਿਜਲੀਇ,ਬਿਜਲੀ
ਛਇਆ,ਛਾਇਆ
ਸਫਲਾ,ਸਫਲਤਾ
ਸਹਿਜ,ਸਹਿਜ
ਸ੍ੰਦਰ,ਸੁੰਦਰ
ਨਅਾਜ,ਅਨਾਜ
taza,ਤਾਜ਼ਾ
paavn,ਪਾਵਨ
pragt,ਪ੍ਰਗਤੀ
panhd,ਪੰਧ
srot,ਸ੍ਰੋਤ
ਉਪਵਝ,ਉਪਵਨ
ਇਸ ਲਈ,ਇਸ ਲਈ
parampra,ਪਰੰਪਰਾ
gn,ਗੁਣ
megh,ਮੇਘ
sundar,ਸੁੰਦਰ
nami,ਨਮੀ
ਖੁਸ਼ੀ,ਖੁਸ਼ੀ
ਰਫ,ਤਰਫ
ਲਕ਼,ਲਕਸ਼
smaan,ਸਮਾਨ
ਚਕਮੀਲਾ,ਚਮਕੀਲਾ
isma,ਸੀਮਾ
ਵਿਵਿੜ,ਵਿਵਿਧ
ਅਰਥ,ਅਰਥ
bal,ਬਲ
ਭਰਿਆ,ਭਰਿਆ
mittar,ਮਿੱਤਰ
ਸੰਖਿਆ,ਸੰਖਿਆ
bag,ਬਾਗ
chamak,ਚਮਕ
balb,ਬਲਬ
ੱਅਧਾ,ਅੱਧਾ
ਤਿੰਨ,ਤਿੰਨ
ਮੈਦਾਨੀ,ਮੈਦਾਨੀ
viamn,ਵਿਮਾਨ
saflta,ਸਫਲਤਾ
ਰਾਖ,ਰਾਖ
ਅਮੀਰ,ਅਮੀਰ
ਚੋਮਕ,ਚਮਕ
ਨਚਾ,ਨਾਚ
ੰੋਇਲਾ,ਕੋਇਲਾ
ਖੁਸ਼,ਖੁਸ਼
navan,ਨਵਾਂ
ਵਰਤਾਮਨ,ਵਰਤਮਾਨ
jkhali,ਖਾਲੀ
ਪਿਛਲਾ,ਪਿਛਲਾ
ਨਰਮੈ,ਨਰਮ
ੱਪਰ,ਉੱਪਰ
ਨਿਆਇ,ਨਿਆਇ
ਰਤਾ,ਰਾਤ
rfng,ਰੰਗ
prchin,ਪ੍ਰਾਚੀਨ
diln,ਦਿਨ
vsan,ਵਨ
svaast,ਸਵਾਸਥ
ਦਰੇ,ਦੇਰ
varkha,ਵਰਖਾ
ਕੱਲ੍ਹ,ਕੱਲ੍ਹ
duhar,ਉਧਰ
ਜੋਂ,ਜੋੜ
ਕਸਗ਼ਣ,ਕਸ਼ਣ
ਖਜਨ,ਵਜਨ
ਪੂਰਨ,ਪੂਰਨ
ghanta,ਘੰਟਾ
ਧੈਰਯੁ,ਧੈਰਯ
ਆਕਿਸੇ,ਕਿਸੇ
ਸਮਾਚਾੜਰ,ਸਮਾਚਾਰ
shial,ਸ਼ੀਤਲ
pjarampra,ਪਰੰਪਰਾ
pryasg,ਪ੍ਰਯਾਸ
jna,ਜਾਂ
asa,ਆਸਾਨ
bhasha,ਭਾਸ਼ਾ
gil,ਗੀਲਾ
