input,target
ಹಡಗು,ಹಡಗು
mach,ಮಾರ್ಚ್
satva,ಸತ್ಯ
poshaka,ಪೋಷಕ
dargadarshi,ಮಾರ್ಗದರ್ಶಿ
ಫೋನ್,ಫೋನ್
adugu,ಅಡುಗೆ
parvimana,ಪರಿಮಾಣ
ganet,ಗಂಟೆ
jibvana,ಜೀವನ
vasants,ವಸಂತ
buand,ಬ್ಯಾಂಡ್
rekshe,ರೇಖೆ
paila,ಪೈಲಟ್
udugore,ಉಡುಗೊರೆ
paryatna,ಪ್ರಯತ್ನ
ಧ್ಯಾಹ್ನ,ಮಧ್ಯಾಹ್ನ
anasu,ಕನಸು
ಲೇಇಕ,ಲೇಖಕ
sabitu,ಸಾಬೀತು
bhakya,ಭಯ
vidiys,ವೀಡಿಯೋ
ಆಹಾರ,ಆಹಾರ
ಸಿಗ್ನಲ್,ಸಿಗ್ನಲ್
bhumi,ಭೂಮಿ
ವಿಶ್ರಾಂತಿ,ವಿಶ್ರಾಂತಿ
ಕೋಣೆ,ಕೋಣೆ
ಕುರ್ಚಿ,ಕುರ್ಚಿ
crendu,ಚೆಂಡು
antima,ಅಂತಿಮ
ೃಂಡ,ತಂಡ
ಕೌಯಶಲ್ಯ,ಕೌಶಲ್ಯ
modhyahna,ಮಧ್ಯಾಹ್ನ
ಬ್ರ್ಯಂಾಡ್,ಬ್ರ್ಯಾಂಡ್
mara,ಮರ
vga,ವೇಗ
ಯೌವಾ,ಯೌವನ
nadi,ನದಿ
ಕೌಶಲ್ಯ,ಕೌಶಲ್ಯ
ಪ್ರಕೃತಿ,ಪ್ರಕೃತಿ
pralyana,ಪ್ರಯಾಣ
ಬೆಲೆ,ಬೆಲೆ
ಬೆಟ್ಟ,ಬೆಟ್ಟ
ದಳಿನಾಂಕ,ದಿನಾಂಕ
anki,ಅಂಕಿ
ಮೆಳ,ಮಳೆ
ಚಿನ್ನ,ಚಿನ್ನ
drishti,ದೃಷ್ಟಿ
kanasu,ಕನಸು
vastu,ವಸ್ತು
adrishtka,ಅದೃಷ್ಟ
ದಿನಾಂಕ,ದಿನಾಂಕ
ಬ್ರೆಡ್ಧ,ಬ್ರೆಡ್
udyaan,ಉದ್ಯಾನ
ಮು,ಮಗು
ಮೇಜು,ಮೇಜು
gamana,ಗಮನ
ಉತ್ಪನ್ನ,ಉತ್ಪನ್ನ
ಬ್ಯಾಂ್,ಬ್ಯಾಂಕ್
ವೆಚ್ಚ,ವೆಚ್ಚ
marj,ಮರ
ಮಾರುಕಘಟ್ಟೆ,ಮಾರುಕಟ್ಟೆ
ಹಿಮಠ,ಹಿಮ
ಇಾರ್ಡ್,ಕಾರ್ಡ್
hridaya,ಹೃದಯ
knoa,ಕೋನ
ರೇೆ,ರೇಖೆ
ಬದಿ,ಬದಿ
nara,ನರ
phalitanshja,ಫಲಿತಾಂಶ
sucrya,ಸೂರ್ಯ
shkati,ಶಕ್ತಿ
ಸರವೋರ,ಸರೋವರ
pratbihe,ಪ್ರತಿಭೆ
batrfa,ಬರ್ಫ
patra,ಪತ್ರ
ಕಾದಗ,ಕಾಗದ
ನಿಮಮ,ನಿಯಮ
ಇಳಿಜರಾು,ಇಳಿಜಾರು
shibira,ಶಿಬಿರ
ಕಾರಖಣ,ಕಾರಣ
bhaya,ಭಯ
belaku,ಬೆಳಕು
ಮನ್ಸು,ಮನಸ್ಸು
pramana,ಪ್ರಮಾಣ
ಕುಟುಂಬ,ಕುಟುಂಬ
rashtrra,ರಾಷ್ಟ್ರ
ಹಡು,ಹಡಗು
rashtra,ರಾಷ್ಟ್ರ
code,ಕೋಡ್
ಕನಯ್ನಡಿ,ಕನ್ನಡಿ
ೌಮಲ್ಯ,ಮೌಲ್ಯ
gopura,ಗೋಪುರ
tangi,ತಂಗಿ
ಹುಲ್ಲು,ಹುಲ್ಲು
dhayna,ಧಾನ್ಯ
kaara,ಆಕಾರ
ಘನಟೆ,ಘಟನೆ
mtnnu,ಮಣ್ಣು
vyapara,ವ್ಯಾಪಾರ
track,ಟ್ರ್ಯಾಕ್
ಬಣ್ಣ,ಬಣ್ಣ
ಇಂದ್ರಿಯ,ಇಂದ್ರಿಯ
ಪ್ರದರ್ಶನ,ಪ್ರದರ್ಶನ
drisht,ದೃಷ್ಟಿ
ಗಾಳಿ,ಗಾಳಿ
ಶಂಲಿ,ಶೈಲಿ
ಇರುವಿೈೆ,ಇರುವಿಕೆ
ಮನೆ,ಮನೆ
ಹಾಳೆ,ಹಾಳೆ
caku,ಕೇಕ್
ವಲಯ,ವಲಯ
ನೌದು,ನಗದು
tingalu,ತಿಂಗಳು
ಕಲ್ಪನೆ,ಕಲ್ಪನೆ
pandya,ಪಂದ್ಯ
kadambadi,ಕಾದಂಬರಿ
baba,ಬಾಣ
ಹುಸಲ್ಲು,ಹುಲ್ಲು
car,ಕಾರ್ಡ್
ಆಕಾರ,ಆಕಾರ
ala,ಆಳ
ಸಂಷ,ಸಂಘ
vvakra,ವಕ್ರ
pattlna,ಪಟ್ಟಣ
card,ಕಾರ್ಡ್
hale,ಹಾಳೆ
ಶಬ್ಶ,ಶಬ್ದ
ಪ್ರೆಸ್,ಪ್ರೆಸ್
dirshti,ದೃಷ್ಟಿ
bakde,ಬಂಡೆ
ಪುಸ್ತಕ,ಪುಸ್ತಕ
ಅಂಕಿಯ,ಅಂಕಿ
ದಕ್ಷಿಣ,ದಕ್ಷಿಣ
ಹಣ,ಹಣ
pati,ಪಟ್ಟಿ
ಕಿರೀಟ,ಕಿರೀಟ
ಕಾನಮೂನು,ಕಾನೂನು
pada,ಪಾದ
bes,ಬೇಸ್
beleg,ಬೆಲೆ
ಮಾರ್ಗ,ಮಾರ್ಗ
ಮಟವ್ಟ,ಮಟ್ಟ
ರೇತಿ,ರೇತಿ
ಆಯಕ್ೆ,ಆಯ್ಕೆ
್ರದೇಶ,ಪ್ರದೇಶ
chandamaruta,ಚಂಡಮಾರುತ
atithi,ಅತಿಥಿ
hindirugi,ಹಿಂದಿರುಗಿ
hldu,ಹಾಡು
ಭಗು,ಮಗು
