input,target
छाता,छाता
अटल,अटल
मानव,मानव
डबली,डबली
साकाआर,साकार
विनय,विनय
तोरहण,तोरण
पुष्प,पुष्प
कविताह,कविता
नहभ,नभ
डाँफे,डाँफे
सेवा,सेवा
मदन,मदन
मालीह,माली
फूल,फूल
मौरी,मौरी
बिरुवा,बिरुवा
नेत्र्,नेत्र
सिमाना,सिमाना
अखाण्ड,अखण्ड
बगैँहचा,बगैँचा
कदम,कदम
जुनेलीह,जुनेली
बर,बर
प्रज्ञाह,प्रज्ञा
मैणा,मैना
चमेली,चमेली
विज्ञान,विज्ञान
बटु,बटुवा
युग,युगल
रेसाम,रेसम
पवन,पवन
कपुर,कपुर
जोर,जोर
अपारह,अपार
मह्ल,महल
पाइला,पाइला
आशाह,आशा
रिव,रिवाज
सुधार,सुधार
साझआ,साझा
करुणा्,करुणा
आकाश्,आकाश
सन्ध्या,सन्ध्या
मुरली,मुरली
कीर्हति,कीर्ति
सफेेद,सफेद
गगन,गगन
चाहना,चाहना
मिठाहस,मिठास
कुसुम,कुसुम
मदन्,मदन
शुभ,शुभ
छिमेहकी,छिमेकी
त्रिकोण,त्रिकोण
सिम्,सिम्रिक
पवितार,पवित्र
कमल,कमल
सिमल,सिमल
तबला्,तबला
आयामह,आयाम
यो,योग
मलम,मलम
मोहार,मोहर
उत्तम्,उत्तम
हरिण,हरिण
गोचरह,गोचर
माया,मायालु
सारथी,सारथी
चांदी,चाँदी
प्रे,प्रेम
दिवा,दिवा
दर्शन,दर्शन
पोखरीह,पोखरी
चेतन,चेतन
लाभ्,लाभ
महल,महल
सुदिन,सुदिन
सटीक,सटीक
सफल्,सफल
थलो,थलो
हार्दिक,हार्दिक
साहस्,साहस
सिमाना,सिमाना
निगम,निगम
तरल,तरल
सन्ध्याह,सन्ध्या
चाँदी,चाँदी
समीइर,समीर
अनन्त,अनन्त
सुलभ,सुलभ
निपूण,निपुण
साहस,साहस
गो,गोचर
बग,बगैँचा
सुगम,सुगम
डा,डाली
वृ,वृक्ष
अणुज,अनुज
झरना,झरना
डाँफे्,डाँफे
विज्ञाहान,विज्ञान
उदय,उदय
तक्मा,तक्मा
सुधार,सुधार
दिया,दियालो
विद्याह,विद्या
अगुवा,अगुवा
अज,अजर
शिक्षा,शिक्षा
सुव,सुविधा
ढोकाह,ढोका
जुनेलीह,जुनेली
सुधार,सुधार
सखाह,सखा
ऊर्ज,ऊर्जा
नेत्र,नेत्र
निवास,निवास
रसिक,रसिक
समय,समय
अर्पण्,अर्पण
मुना्,मुना
किरणह,किरण
मञ्जरी,मञ्जरी
लाभ,लाभ
लेखाक,लेखक
कपुर,कपुर
सफल,सफल
सदहन,सदन
दिवाह,दिवा
जमिन,जमिन
जरायो,जरायो
जीवनह,जीवन
धन,धन
निसाना,निसाना
उदय्,उदय
जुनेहली,जुनेली
कदम्,कदम
मु,मुना
अगुबा,अगुवा
सगोल,सगोल
हवेली,हवेली
पत्रिहका,पत्रिका
मसला,मसला
सपना,सपना
सुमन,सुमन
समीरह,समीर
अरुण्,अरुण
रत्न,रत्न
छहारी,छहारी
निकासह,निकास
त्रिक,त्रिकोण
मसला्,मसला
बाळा,बाला
सफल,सफल
हवे,हवेली
कदर,कदर
साक,साकार
आधाहर,आधार
एकता,एकता
मंग्ल,मंगल
मन,मन
सिपह,सिप
झलक,झलक
विशा,विशाल
सटिक,सटीक
शी,शीतल
लत,लता
जाल,जल
दर्शनह,दर्शन
रौ,रौनक
सा,साथी
भुवन,भुवन
आंगनह,आँगन
भरोसा्,भरोसा
गाजहल,गाजल
विपुल्,विपुल
साँधआ,साँध
नमन,नमन
सुग,सुगन्ध
नियम,नियम
नगार,नगर
हवेली,हवेली
त्रिकोण,त्रिकोण
सट,सटीक
निगम,निगम
शिर,शिर
बिरुवा,बिरुवा
युवाह,युवा
सुवर्ण,सुवर्ण
निर्माहाण,निर्माण
समाय,समय
चौताहरी,चौतारी
मह्,मह
खाहनी,खानी
अठल,अटल
जहाज,जहाज
कीनारा,किनारा
जरायो,जरायो
विनम्र,विनम्र
गाथाह,गाथा
निर्माण,निर्माण
कुञ्ज,कुञ्ज
भवन,भवन
युग्ल,युगल
अतुल,अतुल
गौरव,गौरव
नयन,नयन
गोचर्,गोचर
प्रीतिह,प्रीति
दर्पण,दर्पण
कला,कला
सुयोग,सुयोग
ममता,ममता
मद,मदत
निसाना्,निसाना
आँगन,आँगन
अक्ष्र,अक्षर
हरिण,हरिण
