input,target
নদী,নদী
দনী,নদী
জল,জল
এজল,জল
বায়ু,বায়ু
বায়চু,বায়ু
মেঘ,মেঘ
মঘ,মেঘ
চাঁদ,চাঁদ
চাদঁ,চাঁদ
তারা,তারা
তাোা,তারা
পাতা,পাতা
পাতাশ,পাতা
ফুল,ফুল
ফুঢল,ফুল
ফল,ফল
ঞল,ফল
লতা,লতা
লঁতা,লতা
হ্রদ,হ্রদ
হ্র,হ্রদ
তাল,তাল
োাল,তাল
সাগর,সাগর
ৃাগর,সাগর
পাহাড়,পাহাড়
াহাড়,পাহাড়
পথ,পথ
পথু,পথ
মার্গ,মার্গ
মরা্গ,মার্গ
দ্বার,দ্বার
্্বার,দ্বার
সেতু,সেতু
সেত,সেতু
ঢেউ,ঢেউ
ঢেূউ,ঢেউ
বালু,বালু
যবালু,বালু
পাথর,পাথর
াথর,পাথর
মাটি,মাটি
মাট,মাটি
ধুলো,ধুলো
ধুো,ধুলো
কিরণ,কিরণ
কিরড,কিরণ
আলো,আলো
লো,আলো
আশা,আশা
আাশ,আশা
সুখ,সুখ
সখ,সুখ
আনন্দ,আনন্দ
আননদ্দ,আনন্দ
প্রেম,প্রেম
প্েরম,প্রেম
সময়,সময়
মসয়,সময়
কাল,কাল
কা,কাল
রাত,রাত
রডত,রাত
উষা,উষা
উাষ,উষা
বুদ্ধি,বুদ্ধি
ুদ্ধি,বুদ্ধি
জ্ঞান,জ্ঞান
জ্ঞন,জ্ঞান
বিদ্যা,বিদ্যা
বিভ্যা,বিদ্যা
নীর,নীর
নওর,নীর
আকাশ,আকাশ
আকশা,আকাশ
গগন,গগন
গন,গগন
বাদল,বাদল
বঋদল,বাদল
সূর্য,সূর্য
সূর্যভ,সূর্য
সুরজ,সুরজ
ুসরজ,সুরজ
রঙ,রঙ
ঙর,রঙ
সবুজ,সবুজ
সবজজ,সবুজ
নীল,নীল
ছীল,নীল
হলুদ,হলুদ
ঙহলুদ,হলুদ
সাদা,সাদা
সদা,সাদা
কালো,কালো
কছালো,কালো
গোল,গোল
োগল,গোল
কাপড়,কাপড়
ৌকাপড়,কাপড়
রুমাল,রুমাল
রুমলা,রুমাল
বই,বই
ঞই,বই
কলম,কলম
কল,কলম
কাগজ,কাগজ
মকাগজ,কাগজ
ছায়া,ছায়া
াছয়া,ছায়া
ধুপ,ধুপ
ুধপ,ধুপ
বৃষ্টি,বৃষ্টি
বৃষ্থি,বৃষ্টি
ঝরনা,ঝরনা
ঝনরা,ঝরনা
নালা,নালা
নালাহ,নালা
কুয়া,কুয়া
কুয়াত,কুয়া
তাল,তাল
মাল,তাল
ঘাটি,ঘাটি
ডঘাটি,ঘাটি
ময়দান,ময়দান
ময়দন,ময়দান
খেত,খেত
েখত,খেত
বাগান,বাগান
বাগা,বাগান
উপবন,উপবন
উবন,উপবন
বন,বন
নব,বন
ঘাস,ঘাস
