input,target
ஆறு,ஆறு
ரஆறு,ஆறு
நீர்,நீர்
நர்,நீர்
காற்று,காற்று
காற்ற,காற்று
மேகம்,மேகம்
மேகம்எ,மேகம்
சந்திரன்,சந்திரன்
சந்திரஒன்,சந்திரன்
நட்சத்திரம்,நட்சத்திரம்
நஙட்சத்திரம்,நட்சத்திரம்
இலை,இலை
இல,இலை
மலர்,மலர்
மலர்ள,மலர்
பழம்,பழம்
ழபம்,பழம்
கொடி,கொடி
கொிட,கொடி
ஏரி,ஏரி
இரி,ஏரி
குளம்,குளம்
குமள்,குளம்
கடல்,கடல்
கஙல்,கடல்
மலை,மலை
சலை,மலை
பாதை,பாதை
ாபதை,பாதை
வழி,வழி
வபி,வழி
வாயில்,வாயில்
எாயில்,வாயில்
பாலம்,பாலம்
பாலசம்,பாலம்
அலை,அலை
அல்,அலை
மணல்,மணல்
மறல்,மணல்
கல்,கல்
கஓல்,கல்
மண்,மண்
மஞண்,மண்
தூசி,தூசி
தசூி,தூசி
கதிர்,கதிர்
கதரி்,கதிர்
ஒளி,ஒளி
ஒி,ஒளி
நம்பிக்கை,நம்பிக்கை
நம்ரிக்கை,நம்பிக்கை
சுகம்,சுகம்
சுகமஇ்,சுகம்
ஆனந்தம்,ஆனந்தம்
ஆந்தம்,ஆனந்தம்
அன்பு,அன்பு
அன்ுப,அன்பு
காலம்,காலம்
காலமெ,காலம்
இரவு,இரவு
ெரவு,இரவு
விடியல்,விடியல்
விடியொல்,விடியல்
அறிவு,அறிவு
ஙறிவு,அறிவு
ஞானம்,ஞானம்
ஞோனம்,ஞானம்
விடயம்,விடயம்
விடமய்,விடயம்
வான்,வான்
வா்,வான்
மழை,மழை
ழை,மழை
சூரியன்,சூரியன்
சூரியஉ்,சூரியன்
நிறம்,நிறம்
நிற்ம,நிறம்
பச்சை,பச்சை
பம்சை,பச்சை
நீலம்,நீலம்
ீநலம்,நீலம்
மஞ்சள்,மஞ்சள்
மஞ்சள்த,மஞ்சள்
வெள்ளை,வெள்ளை
வெள்ள,வெள்ளை
கருப்பு,கருப்பு
கருப்ப,கருப்பு
பந்து,பந்து
நப்து,பந்து
துணி,துணி
தணுி,துணி
புத்தகம்,புத்தகம்
புத்கதம்,புத்தகம்
பேனா,பேனா
தேனா,பேனா
காகிதம்,காகிதம்
காகிதமை,காகிதம்
நிழல்,நிழல்
நிடழல்,நிழல்
வெயில்,வெயில்
வெயல்,வெயில்
ஊற்று,ஊற்று
ஊற்றுே,ஊற்று
ஓடை,ஓடை
ஓட,ஓடை
கிணறு,கிணறு
கிணறுந,கிணறு
பள்ளம்,பள்ளம்
ப்ளம்,பள்ளம்
வயல்,வயல்
வஎல்,வயல்
தோட்டம்,தோட்டம்
தோட்டோம்,தோட்டம்
காடு,காடு
ீகாடு,காடு
புல்,புல்
பஆல்,புல்
மொட்டு,மொட்டு
மொட்ு,மொட்டு
கிளை,கிளை
ோகிளை,கிளை
வேர்,வேர்
வேர்ம,வேர்
விதை,விதை
வித,விதை
செடி,செடி
செி,செடி
முள்,முள்
ுமள்,முள்
மரம்,மரம்
மர்,மரம்
நிலக்கரி,நிலக்கரி
நிலக்ரகி,நிலக்கரி
விளக்கு,விளக்கு
விளல்கு,விளக்கு
வெப்பம்,வெப்பம்
ெவப்பம்,வெப்பம்
குளிர்,குளிர்
களிர்,குளிர்
ஆவி,ஆவி
ஆவாி,ஆவி
புகை,புகை
பகை,புகை
சாம்பல்,சாம்பல்
சஆாம்பல்,சாம்பல்
ஓடம்,ஓடம்
டம்,ஓடம்
மூலம்,மூலம்
மூறலம்,மூலம்
வேகம்,வேகம்
வேம்,வேகம்
தொலைவு,தொலைவு
தலொைவு,தொலைவு
உயரம்,உயரம்
உயரம,உயரம்
ஆழம்,ஆழம்
ழஆம்,ஆழம்
நீளம்,நீளம்
நீள்ம,நீளம்
அகலம்,அகலம்
கலம்,அகலம்
வட்டம்,வட்டம்
வட்டமட்,வட்டம்
நேர்கோடு,நேர்கோடு
நேர்கோஏு,நேர்கோடு
வளைவு,வளைவு
ளவைவு,வளைவு
மெல்லிய,மெல்லிய
ொமெல்லிய,மெல்லிய
தடிமன்,தடிமன்
ௌடிமன்,தடிமன்
மென்மை,மென்மை
மன்மை,மென்மை
கடினம்,கடினம்
கிடனம்,கடினம்
இலேசு,இலேசு
இேலசு,இலேசு
கனம்,கனம்
கனமௌ,கனம்
உலர்ந்த,உலர்ந்த
உலர்ந்தண,உலர்ந்த
ஈரம்,ஈரம்
எஈரம்,ஈரம்
புதிய,புதிய
ௌபுதிய,புதிய
சுத்தம்,சுத்தம்
சுததம்,சுத்தம்
தூய்மை,தூய்மை
தூயம்ை,தூய்மை
கலவை,கலவை
கலவ,கலவை
வேறுபாடு,வேறுபாடு
வேயறுபாடு,வேறுபாடு
ஒரே,ஒரே
ஒரேே,ஒரே
தனி,தனி
தின,தனி
இணைப்பு,இணைப்பு
இணைப்ுப,இணைப்பு
துண்டு,துண்டு
தணு்டு,துண்டு
பகுதி,பகுதி
பகதி,பகுதி
முழு,முழு
ுழு,முழு
அரை,அரை
அரஆை,அரை
குறைவு,குறைவு
குறைகவு,குறைவு
அதிகம்,அதிகம்
திகம்,அதிகம்
மூன்று,மூன்று
மூன்றுஈ,மூன்று
நான்கு,நான்கு
நான்றகு,நான்கு
நாள்,நாள்
நாள,நாள்
மாதம்,மாதம்
மாதமௌ்,மாதம்
ஆண்டு,ஆண்டு
ஆண்டசு,ஆண்டு
காலம்,காலம்
காமல்,காலம்
வசந்தம்,வசந்தம்
வனந்தம்,வசந்தம்
கோடை,கோடை
கோை,கோடை
மழைக்காலம்,மழைக்காலம்
மழகை்காலம்,மழைக்காலம்
குளிர்காலம்,குளிர்காலம்
குளிர்கனலம்,குளிர்காலம்
இலையுதிர்,இலையுதிர்
வஇலையுதிர்,இலையுதிர்
கிரகம்,கிரகம்
எகிரகம்,கிரகம்
பூமி,பூமி
பூி,பூமி
ஒளிர்வு,ஒளிர்வு
ஒளர்வு,ஒளிர்வு
இருள்,இருள்
இீருள்,இருள்
சுரம்,சுரம்
சஎரம்,சுரம்
தாளம்,தாளம்
தாளமல,தாளம்
பாடல்,பாடல்
பாடல்ண,பாடல்
நடனம்,நடனம்
மடனம்,நடனம்
கலை,கலை
ஞலை,கலை
வடிவம்,வடிவம்
வடவம்,வடிவம்
உருவம்,உருவம்
உருவங்,உருவம்
கோடு,கோடு
கேடு,கோடு
புள்ளி,புள்ளி
பு்ளளி,புள்ளி
வட்டம்,வட்டம்
டவட்டம்,வட்டம்
சதுரம்,சதுரம்
ிதுரம்,சதுரம்
முக்கோணம்,முக்கோணம்
முே்கோணம்,முக்கோணம்
அளவு,அளவு
அளவ,அளவு
எடை,எடை
டஎை,எடை
அளவு,அளவு
ஊஅளவு,அளவு
நீளம்,நீளம்
நீஉளம்,நீளம்
குறுகிய,குறுகிய
குறகிய,குறுகிய
உயரம்,உயரம்
யரம்,உயரம்
தாழ்வு,தாழ்வு
தாஒ்வு,தாழ்வு
ஆழம்,ஆழம்
ஆௌம்,ஆழம்
ஆழமற்ற,ஆழமற்ற
ஆழணமற்ற,ஆழமற்ற
தொலைவு,தொலைவு
தொலைுவ,தொலைவு
அருகில்,அருகில்
அுகில்,அருகில்
அடுத்த,அடுத்த
அுத்த,அடுத்த
பின்னால்,பின்னால்
ிபன்னால்,பின்னால்
மேல்,மேல்
மே்,மேல்
கீழ்,கீழ்
கீ்ழ,கீழ்
இடது,இடது
இடு,இடது
வலது,வலது
லது,வலது
உள்ளே,உள்ளே
ளஉ்ளே,உள்ளே
வெளியே,வெளியே
வளெியே,வெளியே
முன்னால்,முன்னால்
முன்னால,முன்னால்
பின்னால்,பின்னால்
பின்ொல்,பின்னால்
பக்கம்,பக்கம்
க்கம்,பக்கம்
விளிம்பு,விளிம்பு
விளிம்ு,விளிம்பு
மூலை,மூலை
மூறை,மூலை
திசை,திசை
