input,target
shehs,শেষ
ধাা,ধারা
কঋীভাবে,কীভাবে
ম,কম
jahja,জাহাজ
obosthak,অবস্থা
মসয়,সময়
যুব,যুবক
শেষ,শেষ
কত,কত
মার্গ,মার্গ
shcanti,শান্তি
shurjoe,সূর্য
bigyna,বিজ্ঞান
বিদ্যুৎ,বিদ্যুৎ
shongkha,সংখ্যা
ওখনাে,ওখানে
কীভ,কী
mun,গুণ
bheja,ভেজা
chora,চওড়া
oonnto,অনন্ত
twja,তাজা
চকপর,চক্র
ভাআ,ভাপ
খন,তখন
মসা,মাস
আকার,আকার
অন্ধ,অন্ধ
ঘন্ঙা,ঘন্টা
tara,তারা
ময়দন,ময়দান
om,কম
দিক,দিক
একতা,একতা
পরিংবর্তন,পরিবর্তন
sthon,স্থান
ghatim,ঘাটি
chpomkila,চমকিলা
lotha,লতা
উাষ,উষা
বীজ,বীজ
shetu,সেতু
dal,ডাল
হচলল,হলচল
yrong,রঙ
গ্রীষ্ম,গ্রীষ্ম
doridro,দরিদ্র
কীভাবে,কীভাবে
bij,বীজ
oth,পথ
biddytu,বিদ্যুৎ
দূর,দূর
druo,দ্রুত
shofolp,সফল
kolpbona,কল্পনা
jom,জল
মরুভূমি,মরুভূমি
shorol,সরল
মতা,মজা
শক্,শক্ত
phull,ফুল
োাল,তাল
okt,কত
kokhono,কখনো
লো,আলো
rel,রেল
ৌকাপড়,কাপড়
okhyne,ওখানে
der,দেরি
মশ,মন
অিকার,অধিকার
mota,মোটা
druto,দ্রুত
cohmok,চমক
abar,আবার
লকা,কলা
প্রয়স,প্রয়াস
ভরাী,ভারী
sporgsho,স্পর্শ
shukh,সুখ
মিষ্টি,মিষ্টি
ভগাবনা,ভাবনা
আার,আবার
দিন,দিন
মাস,মাস
আাশ,আশা
বিদ্যা,বিদ্যা
ukto,যুক্ত
গগন,গগন
skoman,সমান
pihc,পিছ
shuroj,সুরজ
ন্যডয়,ন্যায়
dip,দীপ
nyayo,ন্যায়
কলি,কলি
ongsho,অংশ
সৃজন,সৃজন
ডান,ডান
শ্রবণ,শ্রবণ
caoto,ছোট
pathyr,পাথর
grishmo,গ্রীষ্ম
বা,বা
ময়দান,ময়দান
ঋুত,ঋতু
মিৈ্র,মিত্র
যোডৌ়,যোড়
shitol,শীতল
সোাজ,সোজা
ীনন্ত,অনন্ত
kinara,কিনারা
trikon,ত্রিকোণ
pich,পিছ
ঝঅন্ন,অন্ন
ুদ্ধি,বুদ্ধি
shomonjoshsho,সমঞ্জস্য
পথু,পথ
ুশরু,শুরু
সাথ,সাথ
রগম,গরম
স্পষ্ট,স্পষ্ট
ভেজো,ভেজা
kne,কেন
nomi,নমি
বর্তমান,বর্তমান
ভালো,ভালো
হাসি,হাসি
স্বাদিষ্,স্বাদিষ্ট
bindu,বিন্দু
krom,কম
bon,বন
তেজস,তেজস
kola,কলা
উচ্চ,উচ্চ
honta,ঘন্টা
bagan,বাগান
rem,প্রেম
প্রকাশ,প্রকাশ
rakh,রাখ
ভারী,ভারী
াখট্টা,খাট্টা
eik,এদিক
খঅর,খবর
progoti,প্রগতি
ণগিত,গণিত
আবার,আবার
িছনে,পিছনে
বিণশ্বাস,বিশ্বাস
নুতন,নতুন
ধৈর্য,ধৈর্য
nbhari,ভারী
ধীর,ধীর
otkhon,তখন
ধুলো,ধুলো
েভজা,ভেজা
dan,ডান
tej,তেজ
মৌনঋ,মৌন
ekhane,এখানে
দেরি,দেরি
ঝনরা,ঝরনা
শিক্ষম,শিক্ষা
সোজা,সোজা
hashsho,হাস্য
্দূর,দূর
buddhi,বুদ্ধি
এিক,এদিক
আার,আকার
বাদল,বাদল
কখন,কখন
dbalb,বাল্ব
khon,ক্ষণ
কোথায়,কোথায়
pokkho,পক্ষ
সপ্তাহ,সপ্তাহ
ফুঢল,ফুল
shontulon,সন্তুলন
মিশর্,মিশ্র
শক্ত,শক্ত
bhasha,ভাষা
shanti,শান্তি
taia,তাজা
dorja,দরজা
kanta,কাঁটা
নহর,নহর
boh,বড়
কর্তব্যক,কর্তব্য
ncihu,নিচু
একএতা,একতা
জাহাজ,জাহাজ
আরঝ,আর
lsha,উষা
dur,দূর
gola,গোলা
ারা,ভরা
ঁাহস,সাহস
hashi,হাসি
প্রেম,প্রেম
নওর,নীর
মাঘ,মাস
অনন্ত,অনন্ত
shoktlo,শক্ত
কইনো,কোনো
মাট,মাটি
atla,তালা
chobi,ছবি
lokriw,লকড়ি
foshol,ফসল
রুমলা,রুমাল
শক্তিশালী,শক্তিশালী
প্রচাশ,প্রকাশ
মকাগজ,কাগজ
বা্ব,বাল্ব
upor,উপর
মিত্রতা,মিত্রতা
rong,রঙ
prokasw,প্রকাশ
mot,মোটা
ar,আর
shti,শীত
dwip,দ্বীপ
বাগা,বাগান
নিচু,নিচু
হনর,নহর
shahityo,সাহিত্য
shuur,শুরু
bhaol,ভালো
hage,আগে
তাাজ,তাজা
রেলৃ,রেল
কওজন,ওজন
উর্াজ,উর্জা
চপমকিলা,চমকিলা
adghunik,আধুনিক
turo,টুকরো
chokr,চক্র
পুএনো,পুরনো
gakh,গাছ
কো,কোণ
দ্বার,দ্বার
দুপুর,দুপুর
সাঢহায্য,সাহায্য
খুশি,খুশি
সরল,সরল
odik,ওদিক
হলচল,হলচল
dheu,ঢেউ
কলা,কলা
etd,টেড়
arkh,রাখ
বেশি,বেশি
sahmne,সামনে
jatia,যাত্রা
kkhono,কখনো
ধোয়া,ধোয়া
পিছ,পিছ
baire,বাইরে
কী,কী
puraton,পুরাতন
নরম,নরম
বিবজয়,বিজয়
রডত,রাত
knata,কাঁটা
jor,জড়
kn,কেন
বাঁধ,বাঁধ
নিনচু,নিচু
alu,বালু
jo,যোড়
ononto,অনন্ত
আলদা,আলাদা
প্যরগতি,প্রগতি
etka,একতা
মিথ্ূযা,মিথ্যা
কোন,কেন
uola,কলা
urja,উর্জা
রদিদ্র,দরিদ্র
দ্রুদত,দ্রুত
shukuo,শুকনো
baygan,বাগান
কঁষণ,ক্ষণ
পরবর্তী,পরবর্তী
mar,মার্গ
bol,বল
shwman,সমান
onpno,অন্ন
রঙভিন,রঙিন
সহজ,সহজ
dgyan,জ্ঞান
বিমান,বিমান
shporot,শরৎ
রেখঝ,রেখা
shktishali,শক্তিশালী
moydan,ময়দান
গসমাজ,সমাজ
ার,চার
gondho,গন্ধ
shofol,সফল
shonkochon,সংকোচন
পরিবর্তন,পরিবর্তন
uthole,উথলে
াফ,সাফ
shada,সাদা
srijn,সৃজন
shomonjhoshsho,সমঞ্জস্য
সময়,সময়
whontulon,সন্তুলন
dhoroni,ধরণী
honi,ধনী
bauyu,বায়ু
nongra,নোংরা
আধুনকি,আধুনিক
proyasho,প্রয়াস
এখন,এখন
brishti,বৃষ্টি
স্পরড্শ,স্পর্শ
miln,মিলন
khushi,খুশি
eurno,পূর্ণ
অফ্থ,অর্থ
তিন,তিন
shajshojja,সাজসজ্জা
হালকা,হালকা
buddi,বুদ্ধি
dhoirjw,ধৈর্য
সূর্যভ,সূর্য
lhugondho,সুগন্ধ
rekia,রেখা
dhoni,ধনী
ুধপ,ধুপ
hashsdo,হাস্য
gun,গুণ
shahajo,সাহায্য
shaf,সাফ
shacth,সাথ
nodee,নদী
mittha,মিথ্যা
উপর,উপর
াবি,চাবি
ারী,ভারী
বর্তমানষ,বর্তমান
খেলা,খেলা
bhobishyot,ভবিষ্যত
পরিবার,পরিবার
jhorya,ঝরনা
bhoabona,ভাবনা
chomok,চমক
pobitro,পবিত্র
bitor,ভিতর
সব্াদ,স্বাদ
খশুি,খুশি
হজ,সহজ
চকম,চমক
gyan,জ্ঞান
shongit,সঙ্গীত
দঅবস্থা,অবস্থা
lada,আলাদা
স্পর্শ,স্পর্শ
রশৎ,শরৎ
সামনে,সামনে
shob,সব
nayh,নাচ
স্বণস্থ্য,স্বাস্থ্য
shohoj,সহজ
khobor,খবর
bosn,বন
niche,নীচে
ytejosh,তেজস
সবুজ,সবুজ
holchol,হলচল
আর,আর
তল,তাল
এাপ,মাপ
mitrrota,মিত্রতা
কিছু,কিছু
বিজ্ঞান,বিজ্ঞান
hsobshomoy,সবসময়
সিঁডি,সিঁড়ি
shoorl,সরল
bowl,বল
টুকরো,টুকরো
বৃষ্থি,বৃষ্টি
মরুভ্মি,মরুভূমি
unlhu,উঁচু
ূর,দূর
যুক্ত,যুক্ত
pfoshol,ফসল
বড়,বড়
ur,দূর
লতা,লতা
atar,আকার
ত্রিণকোণ,ত্রিকোণ
thanda,ঠান্ডা
স্য,সত্য
jukto,যুক্ত
মরা্গ,মার্গ
বিবিধ,বিবিধ
পবিত্ডর,পবিত্র
patpla,পাতলা
ভলেদ,ভেদ
gororm,গরম
gol,গোল
ভরা,ভরা
orddho,অর্ধ
hsohojog,সহযোগ
chand,চাঁদ
পাতলা,পাতলা
jatra,যাত্রা
beshp,বেশি
সমঞ্জস্য,সমঞ্জস্য
লকড়ি,লকড়ি
ধীন,ধনী
hanlka,হালকা
ুসরজ,সুরজ
সীমদ,সীমা
আলো,আলো
